iter	Passed	Remaining
803	2193	534
804	2197	532
805	2201	529
806	2203	527
807	2206	524
808	2209	521
809	2212	518
810	2214	516
811	2217	513
812	2220	510
813	2222	507
814	2225	505
815	2228	502
816	2231	499
817	2234	497
818	2237	494
819	2240	491
820	2243	489
821	2246	486
822	2250	483
823	2252	481
824	2255	478
825	2258	475
826	2261	473
827	2263	470
828	2266	467
829	2269	464
830	2272	462
831	2275	459
832	2279	456
833	2282	454
834	2285	451
835	2288	449
836	2291	446
837	2295	443
838	2298	441
839	2302	438
840	2306	436
841	2309	433
842	2312	430
843	2316	428
844	2319	425
845	2326	423
846	2329	420
847	2332	418
848	2335	415
849	2337	412
850	2340	409
851	2343	407
852	2346	404
853	2349	401
854	2352	398
855	2355	396
856	2358	393
857	2361	390
858	2364	388
859	2367	385
860	2370	382
861	2374	380
862	2377	377
863	2379	374
864	2382	371
865	2385	369
866	2388	366
867	2391	363
868	2396	361
869	2400	358
870	2404	356
871	2407	353
872	2410	350
873	2412	347
874	2416	345
875	2418	342
876	2421	339
877	2424	336
878	2427	334
879	2429	331
880	2432	328
881	2435	325
882	2439	323
883	2442	320
884	2445	317
885	2448	314
886	2450	312
887	2454	309
888	2456	306
889	2459	303
890	2462	301
891	2465	298
892	2468	295
893	2471	293
894	2474	290
895	2476	287
896	2478	284
897	2481	281
898	2483	279
899	2486	276
900	2488	273
901	2491	270
902	2493	267
903	2496	265
904	2498	262
905	2501	259
906	2504	256
907	2506	253
908	2509	251
909	2511	248
910	2514	245
911	2516	242
912	2520	240
913	2524	237
914	2530	235
915	2534	232
916	2537	229
917	2539	226
918	2542	224
919	2544	221
920	2547	218
921	2549	215
922	2552	212
923	2555	210
924	2561	207
925	2566	205
926	2571	202
927	2576	199
928	2579	197
929	2581	194
930	2584	191
931	2587	188
932	2590	186
933	2595	183
934	2599	180
935	2604	178
936	2609	175
937	2612	172
938	2615	169
939	2617	167
940	2620	164
941	2625	161
942	2629	158
943	2632	156
944	2636	153
945	2638	150
946	2642	147
947	2645	145
948	2648	142
949	2653	139
950	2658	136
951	2660	134
952	2663	131
953	2668	128
954	2671	125
955	2673	123
956	2676	120
957	2678	117
958	2683	114
959	2686	111
960	2688	109
961	2691	106
962	2694	103
963	2699	100
964	2702	98
965	2704	95
966	2706	92
967	2709	89
968	2714	86
969	2716	84
970	2719	81
971	2722	78
972	2724	75
973	2730	72
974	2733	70
975	2735	67
976	2738	64
977	2743	61
978	2746	58
979	2748	56
980	2751	53
981	2754	50
982	2758	47
983	2761	44
984	2764	42
985	2767	39
986	2769	36
987	2775	33
988	2778	30
989	2781	28
990	2783	25
991	2786	22
992	2791	19
993	2795	16
994	2799	14
995	2803	11
996	2806	8
997	2808	5
998	2812	2
999	2820	0
